FRUIT,Sweet Lime/Banana,Pineapple/Banana,Water melon/Banana,Sarda/Banana,Papaya/Banana,Pears/Banana,Mix Fruit/Banana
Cereal,Flakes/Porridge,Chocos/Porridge,Flakes /Porridge,Flakes /Porridge,Flakes /Porridge,Chocos /Porridge,Flakes /Porridge
Egg Preparation,Frittata,Masala Omelets,Boiled Egg,Egg Mayo Sandwich,Egg Bhurji,Boiled Egg,Scrambled Egg
Indian Bfast  ,Poori,Batata Poha,Podi Idli,Cheese Mayo Sandwich,Mix Prantha,Dosa / S_mbhar,Pan Cake 
Choice of milk ,Hot/Cold,Hot/Cold,Hot/Cold,Hot/Cold,Hot/Cold,Hot/Cold,Hot/Cold
Accompaniment,Aloo Bhaji,Mint Chutney ,Tomato Chutney,Tomato Ketchup,Pickle,Coconut Chutney ,Honey
Hot beverage,Tea /Coffee,Tea/Coffee,Tea/Coffee,Tea/Coffee,Tea/Coffee,Tea/Coffee,Tea/Coffee
Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam,Bread/Butter/Jam
,,,,,,,
Raita/Soup,Makhana Raita,Rose Water,Mojito,Palak Raita,Butter Milk,Thandai,Tadka Chaas
SALAD,Salad Bar,Salad Bar ,Salad Bar,Salad Bar,Salad Bar,Salad Bar,Salad Bar
Composite Salad,Sesame Beans Salad,Achari Mooli Salad,Shallot in Vinegar ,Peanut Carrot Salad,Russian Salad,Raw Papaya Pickle,Three Beans Salad
DAL,Kadi Pakoda,Black Masoor Dal,Dal Fry ,Rajma ,Mix Dal Tadka,Kala Chana Rasedar,Dal Dhaba
Healthy / Conti ,Methi Matter Malai,Spaghetti With Olive oil And Chili Flakes ,Paneer Manchurian,Baked Spinach and Corn,Shahi Paneer ,Khatta Metha Pumpkin ,Shabnam Curry
DRY VEG,Aloo Baingan ,Veg 65,Veg in Hot Garlic Sauce,Aloo Capsicum,Pasta In Red Sauce,Veg Lasagna,Princes
NON VEG,N/A,N\A,Chili Chicken (Gravy),N/A,Chicken Roganjosh,N/A,N\A
RICE,Steam rice,Plain Rice, Fried Rice,Plain Rice , Steam Rice ,Onion Pulao ,Plain Rice
ROTI,Chapati,Chapati, Chapati,Chapati,Chapati,Poori,Chapati
SWEET,Suzi Halwa,Chocolate Mousse,,Gulab Jamun,,Rice Kheer,Ice Cream
,,,,,,,
Snack,Pav Bhaji,Samosa,Stuff ban,Sweet Corn,Mini Pizza,Veg Puff,Brownie
Accompaniment,Fry Chilies, Chutney,Tomato Ketchup,Chaat Masala,Tomato Ketchup,Tomato Ketchup,
Tea/Coffee,Tea/Banana Shake,Tea/ Coffee,Tea /Lemon Water,Ice Tea/Coffee ,Tea/Coffee  ,Tea/Cold Coffee,Tea/Coffee
,,,,,,,
Raita/Soup,Khas Sharbat,Khatta Metha Jaljeera,Lemon Water,Aloo Raita,Aam Panna,Cucumber Raita,Mango Crush
SALAD,Salad Bar,Salad Bar,Salad Bar,Salad Bar,Salad Bar,Salad Bar,Salad Bar
Composite Salad,Khamang Kakdi Salad,Aloo Lobhiya Chaat ,Beet Root Salad,Sundal ,Kachumber Salad,Pudina Pyaaz,Carrot Peanut Salad
DAL,Dal Makhani,Amritsari Chole,Chana Dal,S_mbhar,Red Malka Dal,Lobiya Dal ,Dal Panchratan 
GRAVY VEG,Lauki Masala ,Veg Kohlapuri,Sauté Veg,Veg Chettinad,Sauté Beans,Kadai Veg,Paneer Biryani
DRY VEG,Veg Delite,Cheese Macaroni,Baigan Bharta,Aloo Pyaaz Bhaja,Veg Kofta,Dum Aloo Kashmiri,Salan
NON VEG,N/A,N/A,N/A,N/A,N/A,N/A,Mutton Biryani
RICE,Jeera Rice,Rice,Peas Pulao,Tamarind Peanut  Rice,Rice,Rice ,Plain Rice
ROTI,Roti ,Roti,Roti,Uttapam ,Chapati,Roti,Chapati
SWEET,,,Pastry ,,Chandrakala,,-
,,,,,,,
,,,,,,,
